Generation: 1 | 14.9592 0.257631  | Fitness: -4.12842
Generation: 2 | 14.9592 0.257631  | Fitness: -4.12842
Generation: 3 | 14.1434 0.26284  | Fitness: -4.12842
Generation: 4 | 4.5832 0.490314  | Fitness: -4.12842
Generation: 5 | 13.7557 0.481938  | Fitness: -4.12842
Generation: 6 | 13.755 0.474155  | Fitness: -4.12842
Generation: 7 | 13.6006 0.470067  | Fitness: -4.12842
Generation: 8 | 13.6006 0.470067  | Fitness: -4.12842
Generation: 9 | 6.073 0.17546  | Fitness: -4.12842
Generation: 10 | 6.03799 0.275041  | Fitness: -4.12842
Generation: 11 | 0.217663 0.00628869  | Fitness: -4.12842
Generation: 12 | 0.244074 0.00737119  | Fitness: -4.12842
Generation: 13 | 0.726682 0.0239455  | Fitness: -4.12842
Generation: 14 | 0.709385 0.0233515  | Fitness: -4.12842
Generation: 15 | 11.986 0.411616  | Fitness: -4.12842
Generation: 16 | 12.2478 0.43143  | Fitness: -4.12842
Generation: 17 | 12.2478 0.43143  | Fitness: -4.12842
Generation: 18 | 1.09073 0.0365187  | Fitness: -4.12842
Generation: 19 | 1.13828 0.0387016  | Fitness: -4.12842
Generation: 20 | 1.13828 0.0387016  | Fitness: -4.12842
Generation: 21 | 1.13828 0.0387016  | Fitness: -4.12842
Generation: 22 | 0.194898 0.00724807  | Fitness: -4.12842
Generation: 23 | 0.190081 0.00706703  | Fitness: -4.12842
Generation: 24 | 0.162692 0.00605948  | Fitness: -4.12842
Generation: 25 | 0.162692 0.00605948  | Fitness: -4.12842
Generation: 26 | 0.0080229 0.000302967  | Fitness: -4.12842
Generation: 27 | 0.0080229 0.000302967  | Fitness: -4.12842
Generation: 28 | 0.0080229 0.000302967  | Fitness: -4.12842
Generation: 29 | 0.0080229 0.000302967  | Fitness: -4.12842
Generation: 30 | 0.0173169 0.000677381  | Fitness: -4.12842
Generation: 31 | 0.0173169 0.000677381  | Fitness: -4.12842
Generation: 32 | 0.0173169 0.000677381  | Fitness: -4.12842
Generation: 33 | 0.0173169 0.000677381  | Fitness: -4.12842
Generation: 34 | 0.0173169 0.000677381  | Fitness: -4.12842
Generation: 35 | 0.0198328 0.000792132  | Fitness: -4.12842
Generation: 36 | 0.0431316 0.00192949  | Fitness: -4.12842
Generation: 37 | 0.0294758 0.00142465  | Fitness: -4.12842
Generation: 38 | 0.0299653 0.00144274  | Fitness: -4.12842
Generation: 39 | 0.0299653 0.00144274  | Fitness: -4.12842
Generation: 40 | 0.0299653 0.00144274  | Fitness: -4.12842
Generation: 41 | 0.0299653 0.00144274  | Fitness: -4.12842
Generation: 42 | 0.0299653 0.00144274  | Fitness: -4.12842
Generation: 43 | 0.727496 0.0361804  | Fitness: -4.12842
Generation: 44 | 0.00201094 9.71569e-05  | Fitness: -4.12842
Generation: 45 | 0.00201094 9.71569e-05  | Fitness: -4.12842
Generation: 46 | 0.692259 0.0346095  | Fitness: -4.12842
Generation: 47 | 0.61152 0.0305448  | Fitness: -4.12842
Generation: 48 | 0.592487 0.0295895  | Fitness: -4.12842
Generation: 49 | 0.71446 0.0347275  | Fitness: -4.12842
Generation: 50 | 0.0311039 0.00150927  | Fitness: -4.12842
