Generation: 1 | 16.9963 0.107476  | Fitness: -56.2398
Generation: 2 | 16.9963 0.107476  | Fitness: -56.2398
Generation: 3 | 16.9963 0.107476  | Fitness: -56.2398
Generation: 4 | 16.9963 0.107476  | Fitness: -56.2398
Generation: 5 | 16.9963 0.107476  | Fitness: -56.2398
Generation: 6 | 16.9963 0.107476  | Fitness: -56.2398
Generation: 7 | 16.9963 0.107476  | Fitness: -56.2398
Generation: 8 | 16.9963 0.107476  | Fitness: -56.2398
Generation: 9 | 17.104 0.139465  | Fitness: -56.2663
Generation: 10 | 17.0637 0.138196  | Fitness: -56.2663
Generation: 11 | 17.0637 0.138196  | Fitness: -56.2663
Generation: 12 | 17.0145 0.138057  | Fitness: -56.1868
Generation: 13 | 17.0145 0.138057  | Fitness: -56.1868
Generation: 14 | 17.0156 0.137276  | Fitness: -56.2653
Generation: 15 | 16.9604 0.137147  | Fitness: -56.1752
Generation: 16 | 16.9603 0.137867  | Fitness: -56.0332
Generation: 17 | 16.931 0.138687  | Fitness: -56.1548
Generation: 18 | 16.9324 0.139566  | Fitness: -56.1294
Generation: 19 | 16.9338 0.140382  | Fitness: -56.1294
Generation: 20 | 16.9242 0.140317  | Fitness: -56.113
Generation: 21 | 16.9242 0.140317  | Fitness: -56.113
Generation: 22 | 16.9242 0.140317  | Fitness: -56.113
Generation: 23 | 16.9242 0.140317  | Fitness: -56.113
Generation: 24 | 16.9242 0.140317  | Fitness: -56.113
Generation: 25 | 16.9242 0.140317  | Fitness: -56.113
Generation: 26 | 16.9129 0.14028  | Fitness: -56.0826
Generation: 27 | 16.9134 0.140315  | Fitness: -56.0826
Generation: 28 | 16.9283 0.1422  | Fitness: -56.1409
Generation: 29 | 16.9143 0.140404  | Fitness: -56.0954
Generation: 30 | 16.9048 0.140393  | Fitness: -56.0578
Generation: 31 | 16.9058 0.14049  | Fitness: -56.0578
Generation: 32 | 16.9058 0.14049  | Fitness: -56.0578
Generation: 33 | 16.9064 0.140572  | Fitness: -56.0578
Generation: 34 | 16.9055 0.140599  | Fitness: -56.0578
Generation: 35 | 16.9055 0.140595  | Fitness: -56.0578
Generation: 36 | 16.9055 0.140595  | Fitness: -56.0578
Generation: 37 | 16.9055 0.140595  | Fitness: -56.0578
Generation: 38 | 16.9055 0.140595  | Fitness: -56.0578
Generation: 39 | 16.9085 0.141856  | Fitness: -56.0586
Generation: 40 | 16.9056 0.140663  | Fitness: -56.0408
Generation: 41 | 16.9056 0.140663  | Fitness: -56.0408
Generation: 42 | 16.9056 0.140663  | Fitness: -56.0408
Generation: 43 | 16.9056 0.141774  | Fitness: -56.0586
Generation: 44 | 16.9053 0.141778  | Fitness: -56.0586
Generation: 45 | 16.905 0.141735  | Fitness: -56.0586
Generation: 46 | 16.9087 0.141833  | Fitness: -56.0586
Generation: 47 | 16.9083 0.14182  | Fitness: -56.0586
Generation: 48 | 16.9084 0.141878  | Fitness: -56.0586
Generation: 49 | 16.9084 0.142273  | Fitness: -55.9915
Generation: 50 | 16.9086 0.142298  | Fitness: -55.9915
