Generation: 1 | 0.162209 0.598968  | Fitness: -6.84653
Generation: 2 | 1.13395 0.805971  | Fitness: -6.83824
Generation: 3 | 1.2171 0.231355  | Fitness: -6.84601
Generation: 4 | 0.0419366 0.0291627  | Fitness: -6.84653
Generation: 5 | 0.0840556 0.0364095  | Fitness: -6.84653
Generation: 6 | 0.343397 0.0425258  | Fitness: -6.84653
Generation: 7 | 0.411564 0.0531401  | Fitness: -6.84653
Generation: 8 | 0.440301 0.059415  | Fitness: -6.84653
Generation: 9 | 0.43488 0.0586669  | Fitness: -6.84653
Generation: 10 | 0.500248 0.0653248  | Fitness: -6.84653
Generation: 11 | 0.30185 0.0402233  | Fitness: -6.84653
Generation: 12 | 0.30185 0.0402233  | Fitness: -6.84653
Generation: 13 | 0.511909 0.0689655  | Fitness: -6.84653
Generation: 14 | 0.519267 0.060173  | Fitness: -6.84653
Generation: 15 | 0.502852 0.0583906  | Fitness: -6.84653
Generation: 16 | 0.129458 0.0126896  | Fitness: -6.84653
Generation: 17 | 0.195588 0.0203442  | Fitness: -6.84653
Generation: 18 | 0.193306 0.02008  | Fitness: -6.84653
Generation: 19 | 0.193306 0.02008  | Fitness: -6.84653
Generation: 20 | 0.193306 0.02008  | Fitness: -6.84653
Generation: 21 | 0.216292 0.0216712  | Fitness: -6.84653
Generation: 22 | 0.213423 0.0213774  | Fitness: -6.84653
Generation: 23 | 0.211272 0.0211302  | Fitness: -6.84653
Generation: 24 | 0.211725 0.02112  | Fitness: -6.84653
Generation: 25 | 0.211725 0.02112  | Fitness: -6.84653
Generation: 26 | 0.211725 0.02112  | Fitness: -6.84653
Generation: 27 | 0.211725 0.02112  | Fitness: -6.84653
Generation: 28 | 0.209878 0.0209077  | Fitness: -6.84653
Generation: 29 | 0.220584 0.0211614  | Fitness: -6.84653
Generation: 30 | 0.220584 0.0211614  | Fitness: -6.84653
Generation: 31 | 0.254917 0.0235874  | Fitness: -6.84653
Generation: 32 | 0.254917 0.0235874  | Fitness: -6.84653
Generation: 33 | 0.254917 0.0235874  | Fitness: -6.84653
Generation: 34 | 0.244224 0.0226494  | Fitness: -6.84653
Generation: 35 | 0.210914 0.0208597  | Fitness: -6.84653
Generation: 36 | 0.0195631 0.00191461  | Fitness: -6.84653
Generation: 37 | 0.0191301 0.00187184  | Fitness: -6.84653
Generation: 38 | 0.0159431 0.00150964  | Fitness: -6.84653
Generation: 39 | 0.225989 0.0210317  | Fitness: -6.84653
Generation: 40 | 0.202196 0.0194676  | Fitness: -6.84653
Generation: 41 | 0.202196 0.0194676  | Fitness: -6.84653
Generation: 42 | 0.203017 0.0195216  | Fitness: -6.84653
Generation: 43 | 0.226702 0.020715  | Fitness: -6.84653
Generation: 44 | 0.0598127 0.00462376  | Fitness: -6.84653
Generation: 45 | 0.0598127 0.00462376  | Fitness: -6.84653
Generation: 46 | 0.214954 0.0195822  | Fitness: -6.84653
Generation: 47 | 0.214954 0.0195822  | Fitness: -6.84653
Generation: 48 | 0.214954 0.0195822  | Fitness: -6.84653
Generation: 49 | 0.214954 0.0195822  | Fitness: -6.84653
Generation: 50 | 0.214954 0.0195822  | Fitness: -6.84653
