Generation: 1 | 18.4483 0.407417  | Fitness: -76.2181
Generation: 2 | 18.4483 0.407417  | Fitness: -76.2181
Generation: 3 | 18.4483 0.407417  | Fitness: -76.2181
Generation: 4 | 19.2753 0.403987  | Fitness: -77.6046
Generation: 5 | 18.304 0.397581  | Fitness: -75.8576
Generation: 6 | 18.304 0.397581  | Fitness: -75.8576
Generation: 7 | 18.2782 0.418353  | Fitness: -75.8703
Generation: 8 | 18.2791 0.4096  | Fitness: -75.9501
Generation: 9 | 18.2782 0.409913  | Fitness: -75.9731
Generation: 10 | 18.2782 0.409913  | Fitness: -75.9731
Generation: 11 | 18.2526 0.409248  | Fitness: -75.9209
Generation: 12 | 18.2526 0.409248  | Fitness: -75.9209
Generation: 13 | 18.2593 0.415255  | Fitness: -75.8945
Generation: 14 | 18.2593 0.415255  | Fitness: -75.8945
Generation: 15 | 18.2593 0.415255  | Fitness: -75.8945
Generation: 16 | 18.2593 0.415255  | Fitness: -75.8945
Generation: 17 | 18.2285 0.415902  | Fitness: -75.8226
Generation: 18 | 18.211 0.425528  | Fitness: -75.5482
Generation: 19 | 18.2428 0.432019  | Fitness: -75.2979
Generation: 20 | 18.2317 0.43259  | Fitness: -75.312
Generation: 21 | 18.2424 0.432569  | Fitness: -75.3319
Generation: 22 | 18.2424 0.432569  | Fitness: -75.3319
Generation: 23 | 18.2424 0.432569  | Fitness: -75.3319
Generation: 24 | 18.2405 0.43254  | Fitness: -75.3089
Generation: 25 | 18.2358 0.432627  | Fitness: -75.3288
Generation: 26 | 18.2358 0.432627  | Fitness: -75.3288
Generation: 27 | 18.2358 0.432627  | Fitness: -75.3288
Generation: 28 | 18.2358 0.432627  | Fitness: -75.3288
Generation: 29 | 18.1715 0.431767  | Fitness: -75.2229
Generation: 30 | 18.1715 0.431767  | Fitness: -75.2229
Generation: 31 | 18.1715 0.431767  | Fitness: -75.2229
Generation: 32 | 18.1715 0.431767  | Fitness: -75.2229
Generation: 33 | 18.1715 0.431767  | Fitness: -75.2229
Generation: 34 | 18.1676 0.431714  | Fitness: -75.2298
Generation: 35 | 18.1715 0.431767  | Fitness: -75.2229
Generation: 36 | 18.1715 0.431767  | Fitness: -75.2229
Generation: 37 | 18.1461 0.431658  | Fitness: -75.205
Generation: 38 | 18.1461 0.431658  | Fitness: -75.205
Generation: 39 | 18.1461 0.431658  | Fitness: -75.205
Generation: 40 | 18.1461 0.431658  | Fitness: -75.205
Generation: 41 | 18.1451 0.431656  | Fitness: -75.205
Generation: 42 | 18.1451 0.431656  | Fitness: -75.205
Generation: 43 | 18.1287 0.431757  | Fitness: -75.1809
Generation: 44 | 18.1199 0.431618  | Fitness: -75.153
Generation: 45 | 18.1245 0.432824  | Fitness: -75.0631
Generation: 46 | 18.1245 0.432824  | Fitness: -75.0631
Generation: 47 | 18.1245 0.432824  | Fitness: -75.0631
Generation: 48 | 18.1282 0.433943  | Fitness: -75.073
Generation: 49 | 18.111 0.433521  | Fitness: -75.0418
Generation: 50 | 18.1118 0.433573  | Fitness: -75.0268
